idx,item_nm
7049,Прокладка ГБЦ 4RMAZG
1527,Шпонка
4516,Шестерня вала повышающей / понижающей передачи Z=49
140,Кольцо гильзы цилиндров уплотнительное TY295 (95мм)
4343,Крышка мотоблока левая под первичный вал
1782,"Фильтр 326 напорный фланцевый для серий 871, 864, 863 (50 меш (синий) без клапана)"
6645,Болт
3419,Сальники коленвала YN38 (комплект 2 шт)
741,Прокладка головки цилиндра
2883,"Шина 20,5/70-16"
3462,"Тройник 5/8"" (16мм)"
2743,Прокладка ГБЦ
3409,Вал
3596,Шпилька 260 мм
4001,Прокладка коллектора ZS1100T
4243,Шайба
6747,Скоба П-образная (Стремянка) Почвофрезы 1GQN-180/220
3407,Пресс-фитинг DN06 M14 DKOL 45°
5460,Комплект уплотнений
457,Палец поршневой ZN390/ZN490
4060,Пластина
6672,Рукоятка
8,Уплотнение 63x2.50
1361,Подшипниковый узел
3358,Патрубок радиатора верхний TY290/295
3989,Масляный фильтр JX0818 FENG YING
1844,Фильтр 322-2 напорный с вилочным соединением T3 M-M (100 меш (зелёный) с клапаном)
1305,Роликовый штифт 6x32
128,Тяга пресс-подборщика YK0850 (L=290 мм)
6288,"Штуцер прямой для барашковой гайки (G 1 1/2"" - 25 мм)"
6568,Звездочка
4534,TY295 Насос топливный
1704,Направляющая
5188,Гайка
1375,Вал под ножи для почвофрезы TS-180 (комплект)
3355,Тройник переходной 35х22х35
6637,Воздушный фильтр oválný
898,R190-R195 Трубка топливная высокого давления (прямой впрыск)
2030,Винт M6x65 черн.
502,Шестерня заднего хода со втулкой 4-х ступенчатая коробка передач Jinma
539,Фильтр топливный
3450,Втулка с фланцем
4565,Диск R16 Уралец (на задние колеса Уралец 160/ Синтай 160/Газонные)
4222,"Сальник 50х75х12, коленвала R190-R195"
5839,Ремкомплект двигателя YN38
4217,TY295 Комплект прокладок двигателя
6127,Блок двигателя ZHAZG1
159,Нож средний грейдерный GR 165 (1980*200*20)
834,Отвал D1KU пр.
1585,"Фитинг корпуса распылителя (Tecomec) (8294031 1""-25)"
4694,Звездочка
232,Цепь KUHN
464,"Вентилятор SC9D220 760*125, 6 отв D16R-000-12+A/612600060121"
2404,Подшипник шариковый 1 1/2&quot;
2119,"Корпус распылителя на 1 форсунку  (402745  D1/2""_F10)"
2882,Штуцер vicon
5050,Отвал коммунальный гидроповоротный
4547,Сапун
2025,"Крыло отвала Unia, левое VIS 223"
5882,Вал шлицевой для щетки L= 202 мм
1007,Ремень клиновой NH
6639,Ось Kuhn
5905,Подшипник
4692,Втулка подшипниковая  д/к.от 4J13 до 6F50 (311100-04)
358,"Штуцер прямой для барашковой гайки (G 1 1/4"" - 32 мм)"
4594,Поршневая группа 4RMAZG (R2Z05)
3629,Шплинт (Штифт) с кольцом / Палец стопорный замковый d=11х58 мм
4510,Сегмент ножа
3506,"Пластина направляющая, правая"
2422,Палец 40*110
4568,Подшипник GB12508
426,Набор прокладок стальных прокладок (12шт)
1414,Корпус шарикового подшипника без встренных подшипников
5466,Нож зубчатый вращение влево
3033,Фланец
422,Штуцер угловой под вилочное соединение M (T6 - 25 мм)
3555,Шланг заправочный CH-336 RYB (90 см)
4756,Шайба регулировочная
4646,Гайка
2693,"Цепь роликовая, 37 звеньев"
3089,Штуцер прямой под вилочное соединение F (T4 - 30мм)
1457,Пружина
3357,Подшипниковый узел в сборе
865,"Штуцер прямой с наружной резьбой (G 3/4"" - 20 мм)"
3723,ШКИВ
3658,Р/К фланцевых колец гидронасосов НШ-10Е/50У ДТ-75
7225,Стекло дверное левое кабинное JM-244 Kpl (Люкс)/JM-354
5488,Штуцер гидравлики М14/М18
7215,Фара передняя Уралец 160/Синтай 160
4267,Прокладка КАМАЗ крышки клапанной МБС зеленая  
3485,Ремень клиновой NH
6010,"Уголок 90 3/4"" (19мм)"
2217,Вакуумный насос ВС-VP-114(1 ступ. 40л/мин)
1715,Шайба
6136,Крышка
200,Ремень
6075,Распылитель FS (08)
4183,Насос масляный YC6108G/YC6В125 B3000-1011020A
2159,Подшипник конический
5863,Звено соединительное
1747,"Корпус распылителя на 3 форсунки Compact Jet (4064267  D1""_F10)"
1642,Зубчатое колесо редуктора
1656,Прокладка ГБЦ YD385T
4998,Шестерня вторичного вала Z=16 Т25 (2017)
6864,Указатель температуры  масла цифровой
7166,Прокладка головки (ТМЗ)
6070,"Тяга навески (Кронштейн крепления к Почвофрезе 1GQN-180, 220) (компл. 4 шт.)"
2013,Форсунки YTO
6658,R180-R190-R195 Кран топливный в сборе с фильтром
963,Гайка
2576,"Элемент фильтрующий КАМАЗ масляный ЕВРО-1,2,3 "
5916,Форсунка WEICHAI WD10 61560080305
3452,Пружина
6574,Винт M10x50 A2
1545,Подшипник
218,R180 Прокладка радиатора
794,Шпилька металлическая М10х70
5121,Подшипник
1310,"Нож Зуб Японской Почвофрезы 581У , хвостовик 25*10 (Усиленный)"
3877,Двигатель SDBMZ BM58G-85A
5070,Сальник 35х56х12
4991,"Фитинг корпуса распылителя (Tecomec) (8294030 1""-19)"
4339,Кольцо стопорное оцинк. 12 мм
4657,Шайба
3227,Труба K-Flex ST 19х35
162,"Насос шестеренчатый НШ левый CBN-Е314 (плоский привод с площадкой, выходы под углом 180°)"
6020,Лезвие ножа
881,"Шестерня цилиндрическая (15 зубьев, 6 шлицов) Почвофреза 1GQN-100"
7244,Болт
6204,Ключ имбусовый шестигранный Grene 22 mm
4074,Кольцо PS 1
122,Двигатель вентилятора в сборе (Вентилятор) YWF.А4T-400S-5DIAOО (380V)
1818,Кронштейн
3047,ZS1115 Головка цилиндра в сборе
4761,Ось коромысел в сборе DL190-12 (Xingtai 120)
1502,"Фреон (хладон) R600a (6,5 кг.)"
6559,Рычаг
1053,Вал
3369,R190-R195 Щуп масла М8
759,Комплект подвесок КСП 05.100 к КСП 05.000
3149,Комплект подвесок КСП 05.100Б к КСП 05.000В
5695,Головка 71 мм
5388,Фильтр всасывающий 319 с резьбовым соединением (32 меш (красный))
4653,Колпачки маслосъемные (комплект) SC11D/C6121 C04AB-1W5300+A
3343,Вилы для сена на погрузчик ПКУ
2509,Диск тормозной  SDLG936 3090900004
72,Топливные трубки (комплект) BM58G
4319,Пружина
2317,Комплект ножей
4160,Ремень
5553,Вальцовка СТ-808 AM-L
2898,Держатель Krone
6097,Рукав гидравлический
3173,Штуцер прямой под вилочное соединение F (T3 - 16мм)
3618,Ремень клиновой Case
1089,Цепь
6418,Прокладка ГБЦ TY295IT (JD295)
2875,Насос мембранно-поршневой Р-100
2380,"Штуцер прямой для барашковой гайки (G 3"" - 60 мм)"
6150,Шестерня первичного вала Z=31/Z=15 Т25 (2017)
6972,ZS1100 Насос топливный
690,Рукав гидравлический
5702,TY295 Комплект вкладышей шатуна
5402,Штуцер гидравлики М18/М22
3749,"Шайба 55*26*3,6 Jinma"
2689,Прокладка крышки клапанов SD4BW45
6578,Уплотнительное кольцо
3569,F06120406 Колесо контроля глубины MTR K098  
4179,"Труба медная (к) 3/4"" бухта (19,1х0,9х15м)(нов)Сербия"
6563,Шатун в сборе DLH1100
6421,Пружина
4905,"Лемеха для накладки, правый Unia корпус ZX, PO/01188"
5128,Радиатор в сборе LG936L 4110000638 (LY-936)
6989,Штифт
5567,Звездочка
954,Лемех левый
5443,Уплотнительное кольцо
5471,Втулка
5014,Прокладка ГБЦ YCD4R11G-68
1080,"Фильтр 324-4 напорный с резьбовым соединением G 1"" F-F (50 меш (синий) без клапана)"
4404,ТНВД - Насос топливный высокого давления  TY295IT(JD290/295IT)
4046,Шатуны на двигатель YN38
2417,Палец крепежный 14х60 (под шплинт) Уралец/Синтай
5263,Топливопровод от топливного бака к ТНВД Jinma
2662,Рычаг поворотный правый (не раздвижная колея)
6588,Распылитель ID3 120 C (120-015 C)
340,Отсечное устройство 3-х позиционное D20мм
4901,Прокладка крышки водяного насоса КМ385
23,"Шайба 37X47X2,5"
1217,Комплект поршневых колец на двигатель YCD4R11G-68
4897,"Наконечник поворотный резьба наружняя М18/М14, D-17 мм. правый. Уралец 224"
5889,Пластина
5976,Гайка самостопорящаяся ZBC
2381,Распылитель ZCK155S523
4641,Рычаг CNH
2399,Подшипник шариковый 130 мм
2778,Стойка 50x30x1134-260/220 H80
4680,Шестерня (29/37 зубьев) Jinma
6758,"Прокладка ГБЦ R18N 104.7мм Кентавр, Булат, Русич"
5530,Ремень клиновой JD
1333,Кронштейн
6221,Прокладка КАМАЗ под металлорукав перфометалл  
439,Фитинг
4838,"Прокладка к вентилю G-2 1/4"""
6222,Тройник переходной 22х15х22
2284,"Труба медная 1/4"",бухта 15м HLG (Китай)(0,5)"
4791,Габарит с поворотом правый на капот Уралец 224
5290,Трубка
2710,Кольцо стопорное наруж. D=8 мм.
6469,Уплотн. вала 25x35x5
3819,Коллектор выпускной BM58G
2402,Винт
1604,Втулка зажимная 40x50x20 Din14
6648,Рычаг Sunflower
6806,Диск 610x5 110x4 M14
4190,Винт M12x40
5062,Зубчатое колесо
3977,Вентиль быстросъемный QC-ML
6485,Штифт
4018,Крестовина Ø32x76мм / Ø27x94мм 2480 Walterscheid
5235,Держатель
5911,Винт с внутр. 6-гранн. M16-60
3552,Кольцо резинометаллическое М14
667,Ремень клиновой Case
6428,"Термостат (ZHAZG1, YCD4R11G-68, YCD4J22T-115)"
3625,Шпилька ГБЦ (головки блока цилиндров) КМ385 ВТ
1478,Болт KUHN
5272,Корпус распылителя на 3 форсунки Tri Jet (401275A7  D25_F10)
4940,Головка 58 мм
294,"Прокладка для фитингов с уплотнительными кольцами (G 2"")"
7088,R195 Плунжерная пара топливного насоса
4554,Башмак 
3748,Шайба прокладочная
5670,Распылитель ID3 120 (120-05)
1378,Пружина
6566,Тройник D 12мм
6372,Втулка
707,Комплект подвесок КСП 05.100Б к КСП 05.000В
6799,Штифт
1575,Фильтрующий элемент d107x200 мм (32 меш красный)
5137,Пресс-фитинг DN06 9/16 JIC
5077,R180-R190-R195 Фильтрующий элемент топливный
1091,Штуцер прямой под вилочное соединение F (T6 - 25 мм)
1018,Зубодержатель
6617,"Ось D35x115 M30x1,5"
456,Винт M10x40
3073,Реле зарядки JFT249
5185,"Шайба регулировочная 56X 72X0,2"
2004,Штифт 560
6005,Болт М6х30 +гайка М6(закаленные) пресс-подборщик YK0850/ YK0870
4238,Втулка клапана направляющая YTO
191,Пресс-фитинг M30
1402,"Наконечник поворотный резьба наружняя М16/М12, D-16 мм. Поперечной тяги Jinma с ГУР правый"
6181,"Подшипник 6208, полуосей КПП"
1323,Ремень приводной  В-914 мм для сегментной косилки 9G
5244,R180 Радиатор
7129,"Режущая кромка передняя 1,30 м"
1392,Втулка
2326,"Штуцер прямой для барашковой гайки (G 1/2"" - 13 мм)"
7208,Заглушка
559,Рукав гидравлический
2474,"Стартер QDJ3Q5A, 7.8 KW (ZHAZG1, YCD4R11G-68)"
3548,Прокладка ГБЦ 3М78 Jinma 164
4475,Гайка
1332,Штуцер угловой под вилочное соединение F (T7 - 40 мм)
4876,Шпилька ГБЦ TY290/295 длинная
468,R190 Маховик в сборе с венцом Z=120
202,Корпус подшипника
3323,AP1002745 Ремень клиновой Optibelt Agropower SK
4075,Стартер BOSCH V836873457  
1068,Диск
6367,"Корзина сцепления (1- дисковое сцепление) в сборе KM385, JD295, JD2100, TY295IT"
7202,Стекло лобовое кабинное JM-244 Kpl (Люкс &quot;В&quot;)/JM-354
5929,Вкладыши коренные SD4BW45
5541,R180 Шестерня распредвала ведомая запускающая Z=15
6425,Топливные трубки (комплект) Weichai Deutz TD226/WP6 13030240
371,Пресс-фитинг DN13 M22 DKOL 90°
6090,Шайба
3181,Цепь
1874,Рычаг поворотный правый Jinma без ГУР
6192,"Нож средний грейдерный, полоса 1800 мм (на грейдеры ДЗ 122; 143, 180)  "
6679,Кронштейн КР 450(к стене) х 500 (2.0мм х 2.0мм)
5179,Вал ведущий
4578,Кольцо уплотнительное 20х2
2095,Корпус подшипника
2994,Насос гидравлический CBG2050
4683,Шланг гидравлический
271,R180 Вентилятор в сборе с генератором
1154,Ось коромысел в сборе YCD4G22T-115
6987,Кольцо уплотнительное
6310,Замок зажигания с ключами 4-х контактный Уралец/Синтай/Xingtai
1609,"Подшипник выжимной 996713 Jinma 354, 804, DF - 244"
4040,Генератор SD4BW45 JFW27H
304,Пружина
3876,Цепь роликовая
6263,ТНВД на двигатель 4DW91-45
6212,Роликовая цепь 1/2 x1/8
5295,Реле зарядки (регулятор) JFT131-136 12 V 1500W
5962,Насос мембранно-поршневой BP-60
6457,Втулка
2329,Палец поршневой DLH1100
3067,Фильтрующий элемент d107x286 мм (80 меш желтый)
6580,Ось вилки переключения повышающей / понижающей передачи Т25 (2017)
1588,Шайба
3881,"Ключ с внутренним многогранником 3/4&quot; GRENE, 38 мм"
4760,Насос масляный в сборе ZN390
1744,Гидромешалка с распылителем в сборе со штуцером d13 (2.0)
3947,KM385BT Комплект прокладок двигателя
33,Уплотнительное кольцо
2573,Радиатор в сборе 560*750
2765,Втулка клапана направляющая YCD4R11G-68
4148,Тяга нижняя (Цепь ограничительная - Растяжка) L=550 мм Уралец/Xingtai
4618,Рукав гидравлический
7124,Палец
6541,Палец 20X437
6321,Шатуны на двигатель YCD4J22T-115
3332,Вкладыши коренные YN38
3752,"Фонарь освещения знака номерного КАМАЗ,КРАЗ 24V "
4968,"Рычаг отжимной (Лапка сцепления) Jinma 354, 404"
5303,"Режущая кромка передняя 0,95 м"
362,"Гайка 1,5&quot;"
4795,Втулка с буртиком
1280,Распылитель IDKT 120 (120-015)
3272,Втулка зажимная
52,Нож
2867,Шайба
3700,Пружина
7134,Сальник 45х65х10
7180,Палец
3243,Ремкомплект
1334,Крышка задняя торцевая h=57мм Уралец/Синтай
5391,"Шатунно-поршневая группа Битцер, 4PC(S) Левый+Правый STD"
5332,Пластина
2852,Гайка с прорезью
241,К.круг.с. 15 x 2 10 шт.
5642,Шестерня правой полуоси (14/22 зуба) Уралец/Синтай
5107,Вал
1421,Ключ шарнирный 3/4&quot; 7/8&quot;
615,Колесо в сборе
1548,Кольцо уплотнительное
7043,Двигатель 404
2021,Покрышка Шина 6.00-16 (Елочка)
2872,Прокладка 125 X 2.25 Morris
4050,Прокладка O'ring для вилочного соединения (T9 Viton)
2990,Гидромешалка с распылителем в сборе со штуцером d13 (5.0)
6824,Коробка отбора мощности 83Б-4202010 
7007,"Штуцер 3/8""х3/8"" SAE U2-6"
2857,Крышка мотоблока правая под первичный вал
6444,Клапан
4981,"Термостат 6125 (аналог К-59 ранко 1,3 (P1686)"
2568,Лемех левый 650 мм
5057,Шплинт
2160,Генератор 4RMAZG/ZY4 JF2314
361,"Кольцо уплотнительное 12х7,5х2,5"
251,Фильтр
1370,R190 Вал декомпрессора
2998,Стартер Weichai Deutz TD226/WP6 13031962
5228,Муфта сцепления
7211,Шайба JF
4853,Комплект ремней (3 шт) XPA 1060
6996,"Пресс-фитинг № 8, 90°"
988,Пресс-фитинг M30
3382,Гильза цилиндра TY2100I
856,Вилка Jinma 184/200/204/244/254
5430,"Реле зарядки с проводами 5-конт. Jinma, DongFeng"
5814,Венец маховика YCD4J22T-115
3688,Уплотнительное кольцо
3434,Фильтр воздушный внутр. Donaldson
5858,Рычаг правый
423,Болт с шестигранной головкой M14
1554,Сальник 35х50х10 (ВОМ Уралец)
1849,Распорный штифт 6x35
2288,"Кольцо уплотнительное 63х5,7"
731,Колесо прикатывающее пластик.
4149,Пластина
853,Топливный фильтр UC - 220C
4298,Направляющая D80/12/12x122
57,"Вал привода ВОМ Jinma 184, 200, 204, 240, 244, 254"
670,Замок зажигания
6236,Вилка 8x32x38 W2580
7107,"Манометр ТМ-610Р.05 (0-1кгс/см2),150мм  (для котлов)"
3172,Штифт
446,Подшипник GE50ES 50*75*35*28
5336,"Насос шестеренчатый НШ левый CBN-E314L (шлицевой привод, выходы под углом 90°)"
3549,Уплотнение
5475,"Гайка М8х1.25х6.5 ВАЗ,КАМАЗ,УРАЛ высокая (кл.проч.6)  "
5237,Сальники коленвала YCD4R11G-68 (комплект 2шт)
5793,Шланг гидравлический
6017,Шина 16/70-24
874,R180 Щуп масла М26
1222,Топливопровод от бака топливного к фильтру S195/S1100
3639,Шток поршня гидробака Jinma 204/244
6968,Труба гидравлическая
2106,Муфта 1 3/8*1 1/8 (35х28мм)
5744,Болт М16х35 для крепления ножа почвофрезы Виракс (с гайкой и гровером)
2798,"Кольцо уплотнительное 51,6х5,7"
560,Вставка
5555,Рукоятка зуба левая KUHN
4272,"Вал карданный 6*6 шлицов, 660 мм, сечение-трехлимонник, б/к"
4484,Фильтр топливный
114,Шпонка
5392,Манометр
3603,Отвал коммунальный (Беларус 1523)
161,Штифт
1031,Шплинт (Штифт)/ Палец стопорный замковый 10х63 мм
1026,Кронштейн
5422,Фильтр металлический под распылитель (50 меш)
1135,Муфта D 89мм 2-раструбная
2965,Винт с потайной головкой
1720,"Кольцо уплотнительное 36,10X2,"
6419,Втулка 45*35*40
5762,Болт M24x110 8.8 DIN931
5321,Крепление ножа Почвофреза 1GQN-100/120 с боковым редуктором
5935,Цепь
1765,Топливный фильтр UC - 220
6305,Фильтр топливный Donaldson
2796,Трубка
6169,Ящик для инструментов
3492,ZS1100-ZS1115 Крышка двигателя боковая
4448,Стопорное кольцо
5712,Винт с 6-г.г. M10x140 в.с. A2
370,Кольцо
6785,Фиксатор
883,Цепь
7262,Уплотнительное кольцо
2910,"Нож Зуб Почвофрезы IS195, хвостовик 25*8 на Японские и китайские почвофрезы 1GQN"
2085,Фреон (хладон) R600a (420 гр.)
5089,Фара передняя для Jinma-164
7117,Пружина
848,ZS1100 Колено воздушного фильтра
1978,Рукав гидравлический
2118,Винт M24x2x240
5406,Рукоятка
1871,Подшипник
4119,Полуось 13/19 зуб - 815 мм
1224,Ремкомплект Гидроцилиндра опрокидывания ковша (манжеты полиуретановые) ПБ-35
5612,Секция ножа
4827,Корпус распылителя на 1 форсунку  (402725  D20_F7)
4210,Шарнир карданного вала 6 шлицов (сечение трехлимонник) D=35 мм
1320,Блок предохранителей DongFeng 244
4958,Болт 5 dia x8.063 x5.125ul
4814,Подшипник в сборе
3315,Шпонка призматическая
5368,"Винт в сборе M12x1,25x35 12,9"
6391,Подшипник
3254,Воздушный фильтр 1532
299,Амортизатор Ares
3875,Лемех правый
3794,Гидравлический фильтр
1902,Фильтр гидравлический
1386,Вал шлицевой для щетки L=166 мм
698,Распылитель IDK 120 (120-015)
4856,Гайка
711,R180 Фильтр масляный
4110,Болт
5584,Шланг заправочный DS72600 (180 см)
7110,Кабель D7 L=300
51,Палец рулевого цилиндра 30*103
2011,Рычаг подъемный шлицевой наружный (Z=21) Уралец/Синтай
6021,Крыльчатка вентилятора 490/29мм
4373,Пресс-фитинг DN10 3/8 BSP 45°
5130,Фильтр топливный
22,Уплотнение
1555,Рычаг левый
4163,Вентилятор 052 (Самсунг)
6728,"Фитинг M16x1,5"
2975,Прокладка ГБЦ S1100 (5 шпилек)
1923,Вставка 12 портов
6548,"Шестигранная гайка DIN934 M36x4.00 сталь, оцинкованная, класс 8 Kramp"
778,Шланг
676,Генератор JF2512 1000W
5104,"Муфта (G 1/2"")"
67,Шпилька 360 мм
2088,Покрышка Шина 6.50-16 (Елочка)
163,Кронштейн
2845,Фильтр воздушный в сборе с элементом (под капот) Jinma
4457,Шланг гидравлический 1/2&quot;-1SC (EN-857)
7074,Вентилятор тангенциальный DX (240х60) (правый)
7159,Втулка зажимная с гайкой
4684,Шестерня промежуточная со втулкой КМ385BT/LL380BT
6309,"Фильтр 322-4 напорный с резьбовым соединением G 1"" M-M (50 меш (синий) без клапана)"
977,Шестерня коронная 28/51 зубов
471,Звёздочка
3158,R190-R195 Прокладка поддона
7184,Уголок 90* D 76мм 2-х раструбный
6846,Хомут для шланга V2A 68-85 мм
844,Шплинт
3287,R190-R195 Комплект трубок масляного насоса
989,Ролик
1662,Пластина Lemken
501,Шланг гидравлический 90 см угловой 22 мм
2745,Подшипник 6304/ 304 (20х52х15)
6405,Лемех правый WSM 43L C-PLUS
5698,Кронштейн
5095,Коленвал (Коленчатый вал)  J285	BT
1742,"Фильтр воздушный в сборе - под капот для Jinma  с 2-мя шестер. насосами на дизеле, каб. стар.обр"
1482,R180 Кран слива охлаждающей жидкости
3554,Сальник
2923,Кольцо
7226,Кольцо
5136,Втулка Sunflower
4860,ZS1115 Насос топливный
3995,R180 Плита крепления электростартера
2826,R190 Бак топливный
6594,Вкладыши шатунные YC6108G/YC6В125 6105Q-1004022
4857,"Болт М14х1.5х50 ""КАМАЗ"" вала карданного (кл.проч. 10.9)   "
4,"Муфта (G 1 1/4"")"
2538,Вкладыши упорные верхнее и нижнее полукольцо ZN390 (компл. 2 шт)
4702,"Кольцо уплотнительное 103х3,55"
6596,Проставка
1492,Шайба
1059,Роторное лезвие л. JF
6808,Рулевая колонка в сборе DongFeng 304 с ГУР
4451,Термостат 4DW91-45
6599,Палец
5830,ШЕСТЕРНЯ ВЕДУЩАЯ
4205,Ось коромысел в сборе ZHAZG1
238,Зуб пружинный на дисковую борону 905380
652,Крышка топливного фильтра
4347,Распылитель LU 120 (120-01)
961,Шатун в сборе LL380 BT
513,Рукоятка зуба л.
7158,Фильтр масляный JX0707(JX0707S) Jinma 164
3182,Форсунка в сборе 3M78 Jinma 164
2335,Фильтр топливный CX0706 (М16х1.5)
1385,"Болт M7 x 30 8.8, оцинкованный"
1288,Вкладыши коренные ZN390 - комплект на дизель
1204,Фильтр топливный Fleetguard
3632,Фильтр топливный грубой очистки CX1011A SC11D/C6121 D00-305-03+A/C85AB-85AB302+A
5298,Топливные трубки ZHAZG1 (комплект)
7139,Уплотнительное кольцо
3826,"Защитная крышка D89/63,7/2,5/6"
2914,Звездочка
2490,Клапан выпускной DLH1100
4296,"Кольцо уплотнительное 55x2,50"
5739,Вилка с профильной трубой S5 2480
2647,Труба K-Flex ST 6х06
7020,Штуцер прямой под вилочное соединение F (T5 - 20мм)
2911,Коленчатый вал
1085,Масляный фильтр короткий
6977,Клапан впускной DLH1100
5647,Фильтр 326 напорный с вилочным соединением T5 M-M (32 меш (красный) с клапаном)
6649,Шестерня распределительного вала ZN490/ZN390
172,Гидрораспределитель в сборе DongFeng
1661,"Пресс-фитинг с фланцем 54,0 мм"
5503,"Шестигранная гайка DIN934 M12x1.50 сталь, класс 8 Kramp"
28,Клиновой ремень зубчатый XPA 13x3550 Optibelt
1373,Подшипник игольчатый 25х30х25
5082,Прокладка под коллектор YCD4G22T-115
4224,Комплект поршневых колец .020&quot;
835,Палец
3678,Звено цепи
2869,"Насос шестеренчатый НШ левый CBN-E306 (плоский привод под отвертку, выходы под углом 90°)"
3764,Топливопровод от насоса подкачки к фильтру топливному TY295IT (JD)
5151,Штифт 30x134 мм 2x8x118 мм
4513,"Штуцер угловой с наружной резьбой (G 2"" - 50 мм)"
866,"Прокладка для штуцеров с уплотнительными кольцами (G 2 1/2"")"
1566,"Клапанная плита для компрессора 2EES, 4EES 304059-10 (замена 304059-01)"
3508,Штуцер прямой под вилочное соединение F (T5 - 35мм)
1452,Сильфон D42-D12-150lg
979,"Труба медная (с) - штанга 76,10 мм х 2,00мм х 5м"
3239,Зубья сетчатой бороны удлинен. пр.
6420,Вал
2149,Сапун
1525,Распылитель FD (06)
5403,Подшипниковый узел  UCF 206 фланцевый
4922,Штифт
6570,Вал
485,Гайка M20
3610,Гидравлический шланг
1316,"Сальник 35х56х10, нижнего вала почвофрезы"
517,Корпус подшипников полуоси правый Т25 (2017)
2567,Лезвие отвала 1 пр.
2772,Втулка
3080,Вилы для рулонов на Robocop NEO
2066,Вкладыши шатунные SD4BW45
7234,"Вкладыш/Подшипник коренной S195/S1100 (ремонт 0,50)"
4949,"Винт M30x280 8,8 оцинк."
1981,Рама
4498,Втулка
2836,Уплотнение d 58/d 54 x 2
1141,Цепь 1/2&quot;x1/8&quot;
5673,Болт
3126,Топливные трубки (комплект) YTO
6345,Труба Т-Смарт C-6
364,"Барабан высевной ф. 16 (кукуруза, арбуз, лук-севок)"
3612,"Сальник 30х45х8, первичный вал со стороны сцепления"
4134,Штуцер прямой под вилочное соединение F (T5 - 30мм)
4792,Набор уплотнений
5257,Ремкомплект суппорта ZL30 с поршнем
334,Труба Rilsan Pa11 4X2 Neutro
1621,Ремкомплект гидроцилиндра 63/35
6731,LF9009  Фильтр масляный FLEETGUARD
5498,TY295 Насос масляный
1109,Планка
3081,Болт М14х40 (с гайкой и гровером) отвала
3481,"Реле зарядки (регулятор) Уралец/ Синтай 180, 220, DF 1500W"
3122,Термостат SC9D220 D22-102-06+D/411000099734
4288,Вкладыш подшипника конический
3812,"Штуцер SAE 5/8"" х 1/2""NPT U1-10D"
2978,Поршневой комплект на дизель R195
1773,Штуцер прямой под вилочное соединение F (T9 - 75 мм)
2816,Комплект клапанов YN 38
3637,Корпус шарикового подшипника
4996,Зуб ротационной бороны пр.
4832,Штанга SD4BW45
1206,"Шайба дозирующая металлическая (0,8/32)"
1212,Ротор
1942,Труба K-Flex ST 6х12
112,Цепь привода редуктора подъемного навесного оборудования Скаут
4406,Болт
6511,Пластина
4354,Рычаг поворотный (Сошка рулевая) без ГУР Jinma 184-254
3536,Фильтр
2545,"Форсунка F-10-110, син."
7170,Шатуны на двигатель 4DW91-45
5828,"Вентилятор 10"" 24V Pusher 100W ""S"" 08-1027 (автохолод)"
2501,Втулка зажимная с гайкой
4063,Фильтрующий элемент d107x286 мм (32 меш красный)
2372,"Штуцер угловой с наружной резьбой (G 1 1/4"" - 30 мм)"
5155,Шестерня левой полуоси коническая (22 зуба) Уралец/Синтай
5930,Поршневая группа 4B2-75M22
3770,Ось коромысел в сборе TY 290/295
7144,Ось коромысел в сборе SD4BW45
3156,Генератор 3M78 Jinma 164
3424,Ступица
5687,R180 Венец маховика Z=134
6470,Гайка с автомат. блокировкой
3840,Крышка
5727,Вилы для сена
7075,Фильтр гидравлический
6436,Масляный насос ZHAZG1 15/25
305,Тяга
3741,Пружина клапана наружная TY290/TY295
900,R180 Крышка коленвала
3768,Шайба HARDI
3701,Прокладка КАМАЗ-ЕВРО коллектора выпускного  
460,Вал
4239,Рычаг подъемный внутренний шлицевой (Шток упирается в рычаг) Уралец/Синтай
3003,Колесо трактора в сборе 5.00&quot; - 12.00&quot;
6642,Сцепление 2-ручейковое в сборе
4973,Барабан тормозной DongFeng
2949,Шайба
3790,Прокладка крышки головки блока цилиндров (клапанной крышки) КМ/LL
4624,Направляющая 80 мм
1051,Шайба
6330,Втулка
6030,Шланг
4961,Кронштейн
6395,Указатель температуры охлаждающей жидкости цифровой
3743,Корпус подшипника
1973,Двигатель SC11CB220G2B1
3086,Пружина клапана внутренняя S1100/S195
6144,Кронштейн
3258,Гайка M12 d6331 8.8zg
1735,Шестерня главного вала Z=31
1912,Комплект подшипников
5166,ZS1100-ZS1115 Шпонка маховика
1583,Рычаг
640,Рычаг
3561,Подшипник
2228,"Звено соединительное на щетку ПР-19,05-31,8"
4479,"R180 Шкив маховика 3-ручейковый, D=102 мм"
133,Сальник 52х75х12 коленвала передний TY290/295
2553,Подшипник 6004
2860,Шланг гидравлический
6814,Кран гидравлический замедлительный М16/М16
4724,Шестерня промежуточного вала Z=19 Т25 (2017)
6103,Скоба для вилочного соединения (T4)
2938,Крышка боковая почвофрезы 1GQN-220
7148,Шестерня (19/44 зуба) Jinma
2811,Штуцер угловой под вилочное соединение M (T6 - 32 мм)
1359,Кольцо
3892,Приспособление для навески борон КПС 04.000
2273,"Уголок 45  D1/4"" (6мм)"
5277,Бак масла гидравлики (1 выход)
5540,Втулка
5074,Прокладка ГБЦ 4DW91-45
3843,Радиатор Jinma244 (D диффузора = 380 мм)
6510,Шайба FE/ZNXC
5789,Труба
